# symbol: 通貨コード
# name  : 名称
# fraud : 詐欺か否か（1は詐欺、0は対照群）
# year  : ホワイトペーパーの発行年
#
# fraudおよびyearは本研究の定義に基づく．
#
# 本データにおける「詐欺」はDead Coinsの基準に1つ以上該当することを示し，
# 当該暗号資産が投資家を欺く意図を持っていたと主張するものではない．
#
symbol,name,fraud,year
STORJ,Storj,0,2016
STQ,Storiqa,1,2017
STX,Stacks,0,2020
STX2,Stox,1,2017
SUB,Substratum,1,2017
SWM,Swarm,1,2017
SXP,SXP / Solar,0,2019
TFL,TrueFlip,1,2017
TGT,Target Coin,1,2017
THETA,Theta Network,0,2018
TKN,Monolith,1,2017
TKS,Tokes,1,2018
TKY,THEKEY,1,2017
TNB,Time New Bank,1,2017
TNT,Tierion ,1,2017
TPAY,TokenPay,1,2017
TRST,WeTrust,1,2017
TRX,Tron,0,2017
TSL,Energo,1,2017
UMA,UMA,0,2018
UNI,Uniswap,0,2020
USNBT,Nubits,1,2014
UTNP,Universa,1,2017
VET,VeChain,0,2018
VIBE,VIBE,1,2017
VOICE,Voice,1,2018
WAVES,Waves,0,2016
WAXP,WAX,0,2017
WGR,Wagerr,1,2017
WOO,WOO Network,0,2020
XAS,Asch,1,2016
XAUR,Xaurum,1,2016
XCH,Chia,0,2022
XCLR,Clearcoin,1,2018
XCM,Coinmetro,1,2017
XCR,Crypti,1,2015
XDC,XDC Network,0,2021
XEM,NEM,0,2018
XIN,Mixin,1,2017
XLM,Stellar,0,2016
XMR,Monero,0,2013
XP,Experience Points,1,2017
XRP,XRP,0,2014
XTZ,Tezos,0,2014
XYM,Symbol,0,2021
ZEC,Zcash,0,2017
ZEN,Horizen,0,2018
ZIL,Zilliqa,0,2017
ZPT,Zeepin,1,2017
ZRX,0x,0,2017
ZSC,Zeusshield,1,2017
